hhid,personid1,personid2,personid3,personid4,price,nkids,jbstathoh,us,ustot,usa,usb,usc,usd,use,usg,ush,usi,usj
2791,4582859,NA,NA,NA,320000,0,in paid employ,yes,">£30,000",no,no,yes,no,no,no,no,no,no
617,7239963,NA,NA,NA,76500,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1822,5768725,NA,NA,NA,130000,0,something else,no,not applicable,no,no,no,no,no,no,no,no,no
1453,9557170,NA,NA,NA,132500,0,retired,yes,£200-499,no,no,no,no,no,no,yes,no,no
135,7932986,NA,NA,NA,250000,4,in paid employ,yes,"£1,500-1,999",no,no,yes,no,no,no,no,no,no
284,2145669,NA,NA,NA,124950,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
3804,6097347,363010,NA,NA,170000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
3873,127679,NA,NA,NA,196000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2513,6416818,NA,NA,NA,249777,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2931,9917620,8082118,NA,NA,118000,1,unemployed,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2780,4482284,4799405,NA,NA,141995,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2489,6858855,NA,NA,NA,220000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1278,3404578,4655205,NA,NA,185000,0,in paid employ,yes,"£1,500-1,999",no,no,yes,no,no,no,no,no,no
1750,8717483,NA,NA,NA,340000,1,FT student,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
2493,8800907,NA,NA,NA,200000,2,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
933,4951092,NA,NA,NA,114950,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
4417,8475887,NA,NA,NA,435000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3625,1932668,NA,NA,NA,160000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
4484,1855932,NA,NA,NA,93000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2394,3441643,NA,NA,NA,250000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2318,5761401,NA,NA,NA,66000,0,in paid employ,yes,<£200,no,no,yes,no,no,no,no,no,no
1552,3795520,NA,NA,NA,154000,0,retired,yes,£200-499,no,no,yes,no,no,no,no,no,no
374,9018571,NA,NA,NA,205000,0,something else,yes,£200-499,no,yes,no,no,no,no,no,no,no
517,9228932,NA,NA,NA,280000,0,retired,yes,"£1,000-1,499",no,no,yes,yes,no,no,no,no,no
3002,1222807,NA,NA,NA,110000,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1824,4463983,NA,NA,NA,135000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2433,4473747,NA,NA,NA,103000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
3566,8421644,NA,NA,NA,316950,0,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
3846,5446618,NA,NA,NA,140000,0,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
2543,1234465,NA,NA,NA,264000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
937,7587817,NA,NA,NA,194250,0,retired,yes,£500-999,no,no,no,no,no,no,yes,no,no
3505,3889185,NA,NA,NA,228000,4,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2925,6900807,NA,NA,NA,80000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3589,3040843,NA,NA,NA,145000,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
4497,2105778,NA,NA,NA,134500,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1912,6280937,NA,NA,NA,137500,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
3950,5957590,NA,NA,NA,215000,0,something else,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1277,2766266,NA,NA,NA,140000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
4189,9913179,NA,NA,NA,270000,1,in paid employ,yes,"£8,500-8,999",no,no,yes,no,no,no,no,no,no
2831,36861,NA,NA,NA,35000,0,in paid employ,yes,<£200,no,no,yes,no,no,no,no,no,no
4132,5965205,NA,NA,NA,195000,0,in paid employ,yes,"£10,000-14,499",no,yes,no,no,no,no,no,no,no
366,7645929,NA,NA,NA,140000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
152,9979381,NA,NA,NA,578000,0,self employed,yes,£200-499,no,no,no,no,no,no,yes,no,no
706,4362732,NA,NA,NA,83000,2,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
956,5651379,NA,NA,NA,153000,3,unemployed,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
4357,5042404,NA,NA,NA,289000,2,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
